Address_ID,Address,Zipcode,City,State,Country
1,,98001,King County,Washington,United States
2,,98002,King County,Washington,United States
3,,98003,King County,Washington,United States
4,,98004,King County,Washington,United States
5,,98005,King County,Washington,United States
6,,98006,King County,Washington,United States
7,,98007,King County,Washington,United States
8,,98008,King County,Washington,United States
9,,98010,King County,Washington,United States
10,,98011,King County,Washington,United States
11,,98014,King County,Washington,United States
12,,98019,King County,Washington,United States
13,,98022,King County,Washington,United States
14,,98023,King County,Washington,United States
15,,98024,King County,Washington,United States
16,,98027,King County,Washington,United States
17,,98028,King County,Washington,United States
18,,98029,King County,Washington,United States
19,,98030,King County,Washington,United States
20,,98031,King County,Washington,United States
21,,98032,King County,Washington,United States
22,,98033,King County,Washington,United States
23,,98034,King County,Washington,United States
24,,98038,King County,Washington,United States
25,,98039,King County,Washington,United States
26,,98040,King County,Washington,United States
27,,98042,King County,Washington,United States
28,,98045,King County,Washington,United States
29,,98052,King County,Washington,United States
30,,98053,King County,Washington,United States
31,,98055,King County,Washington,United States
32,,98056,King County,Washington,United States
33,,98058,King County,Washington,United States
34,,98059,King County,Washington,United States
35,,98065,King County,Washington,United States
36,,98070,King County,Washington,United States
37,,98072,King County,Washington,United States
38,,98074,King County,Washington,United States
39,,98075,King County,Washington,United States
40,,98077,King County,Washington,United States
41,,98092,King County,Washington,United States
42,,98102,King County,Washington,United States
43,,98103,King County,Washington,United States
44,,98105,King County,Washington,United States
45,,98106,King County,Washington,United States
46,,98107,King County,Washington,United States
47,,98108,King County,Washington,United States
48,,98109,King County,Washington,United States
49,,98112,King County,Washington,United States
50,,98115,King County,Washington,United States
51,,98116,King County,Washington,United States
52,,98117,King County,Washington,United States
53,,98118,King County,Washington,United States
54,,98119,King County,Washington,United States
55,,98122,King County,Washington,United States
56,,98125,King County,Washington,United States
57,,98126,King County,Washington,United States
58,,98133,King County,Washington,United States
59,,98136,King County,Washington,United States
60,,98144,King County,Washington,United States
61,,98146,King County,Washington,United States
62,,98148,King County,Washington,United States
63,,98155,King County,Washington,United States
64,,98166,King County,Washington,United States
65,,98168,King County,Washington,United States
66,,98177,King County,Washington,United States
67,,98178,King County,Washington,United States
68,,98188,King County,Washington,United States
69,,98198,King County,Washington,United States
70,,98199,King County,Washington,United States
